Backend TkAgg is interactive backend. Turning interactive mode on.
c:1, v:1, t:1, n:2, p:3, o:58, r:7, l:5
c:2, v:2, t:1, n:3, p:1, o:7, r:5, l:58
c:3, v:3, t:1, n:1, p:2, o:5, r:58, l:7
c:4, v:1, t:2, n:5, p:6, o:65, r:3, l:-1
c:5, v:4, t:2, n:6, p:4, o:3, r:-1, l:65
c:6, v:2, t:2, n:4, p:5, o:-1, r:65, l:3
c:7, v:5, t:3, n:8, p:9, o:2, r:12, l:-1
c:8, v:1, t:3, n:9, p:7, o:12, r:-1, l:2
c:9, v:3, t:3, n:7, p:8, o:-1, r:2, l:12
c:10, v:5, t:4, n:11, p:12, o:43, r:13, l:8
c:11, v:3, t:4, n:12, p:10, o:13, r:8, l:43
c:12, v:6, t:4, n:10, p:11, o:8, r:43, l:13
c:13, v:7, t:5, n:14, p:15, o:11, r:16, l:-1
c:14, v:5, t:5, n:15, p:13, o:16, r:-1, l:11
c:15, v:6, t:5, n:13, p:14, o:-1, r:11, l:16
c:16, v:8, t:6, n:17, p:18, o:14, r:26, l:19
c:17, v:7, t:6, n:18, p:16, o:26, r:19, l:14
c:18, v:6, t:6, n:16, p:17, o:19, r:14, l:26
c:19, v:9, t:7, n:20, p:21, o:18, r:22, l:-1
c:20, v:7, t:7, n:21, p:19, o:22, r:-1, l:18
c:21, v:8, t:7, n:19, p:20, o:-1, r:18, l:22
c:22, v:10, t:8, n:23, p:24, o:20, r:25, l:34
c:23, v:9, t:8, n:24, p:22, o:25, r:34, l:20
c:24, v:8, t:8, n:22, p:23, o:34, r:20, l:25
c:25, v:6, t:9, n:26, p:27, o:23, r:17, l:30
c:26, v:10, t:9, n:27, p:25, o:17, r:30, l:23
c:27, v:8, t:9, n:25, p:26, o:30, r:23, l:17
c:28, v:10, t:10, n:29, p:30, o:42, r:31, l:27
c:29, v:6, t:10, n:30, p:28, o:31, r:27, l:42
c:30, v:11, t:10, n:28, p:29, o:27, r:42, l:31
c:31, v:12, t:11, n:32, p:33, o:29, r:57, l:35
c:32, v:10, t:11, n:33, p:31, o:57, r:35, l:29
c:33, v:11, t:11, n:31, p:32, o:35, r:29, l:57
c:34, v:12, t:12, n:35, p:36, o:24, r:33, l:39
c:35, v:9, t:12, n:36, p:34, o:33, r:39, l:24
c:36, v:10, t:12, n:34, p:35, o:39, r:24, l:33
c:37, v:9, t:13, n:38, p:39, o:81, r:-1, l:36
c:38, v:12, t:13, n:39, p:37, o:-1, r:36, l:81
c:39, v:13, t:13, n:37, p:38, o:36, r:81, l:-1
c:40, v:11, t:14, n:41, p:42, o:45, r:54, l:28
c:41, v:6, t:14, n:42, p:40, o:54, r:28, l:45
c:42, v:14, t:14, n:40, p:41, o:28, r:45, l:54
c:43, v:14, t:15, n:44, p:45, o:10, r:46, l:40
c:44, v:6, t:15, n:45, p:43, o:46, r:40, l:10
c:45, v:3, t:15, n:43, p:44, o:40, r:10, l:46
c:46, v:15, t:16, n:47, p:48, o:44, r:60, l:51
c:47, v:14, t:16, n:48, p:46, o:60, r:51, l:44
c:48, v:3, t:16, n:46, p:47, o:51, r:44, l:60
c:49, v:14, t:17, n:50, p:51, o:72, r:52, l:48
c:50, v:15, t:17, n:51, p:49, o:52, r:48, l:72
c:51, v:16, t:17, n:49, p:50, o:48, r:72, l:52
c:52, v:11, t:18, n:53, p:54, o:50, r:55, l:41
c:53, v:14, t:18, n:54, p:52, o:55, r:41, l:50
c:54, v:16, t:18, n:52, p:53, o:41, r:50, l:55
c:55, v:12, t:19, n:56, p:57, o:53, r:78, l:32
c:56, v:11, t:19, n:57, p:55, o:78, r:32, l:53
c:57, v:16, t:19, n:55, p:56, o:32, r:53, l:78
c:58, v:15, t:20, n:59, p:60, o:1, r:61, l:47
c:59, v:3, t:20, n:60, p:58, o:61, r:47, l:1
c:60, v:2, t:20, n:58, p:59, o:47, r:1, l:61
c:61, v:17, t:21, n:62, p:63, o:59, r:64, l:69
c:62, v:15, t:21, n:63, p:61, o:64, r:69, l:59
c:63, v:2, t:21, n:61, p:62, o:69, r:59, l:64
c:64, v:4, t:22, n:65, p:66, o:62, r:4, l:-1
c:65, v:17, t:22, n:66, p:64, o:4, r:-1, l:62
c:66, v:2, t:22, n:64, p:65, o:-1, r:62, l:4
c:67, v:15, t:23, n:68, p:69, o:-1, r:70, l:63
c:68, v:17, t:23, n:69, p:67, o:70, r:63, l:-1
c:69, v:18, t:23, n:67, p:68, o:63, r:-1, l:70
c:70, v:16, t:24, n:71, p:72, o:68, r:73, l:49
c:71, v:15, t:24, n:72, p:70, o:73, r:49, l:68
c:72, v:18, t:24, n:70, p:71, o:49, r:68, l:73
c:73, v:19, t:25, n:74, p:75, o:71, r:-1, l:76
c:74, v:16, t:25, n:75, p:73, o:-1, r:76, l:71
c:75, v:18, t:25, n:73, p:74, o:76, r:71, l:-1
c:76, v:12, t:26, n:77, p:78, o:75, r:79, l:56
c:77, v:16, t:26, n:78, p:76, o:79, r:56, l:75
c:78, v:19, t:26, n:76, p:77, o:56, r:75, l:79
c:79, v:13, t:27, n:80, p:81, o:77, r:-1, l:37
c:80, v:12, t:27, n:81, p:79, o:-1, r:37, l:77
c:81, v:19, t:27, n:79, p:80, o:37, r:77, l:-1
